author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;district;street;house_number;underground
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312303695/;Москва;rent;flat;7;32;1;32.1;60000;0;Митино;Муравская ;38Бк4;Пятницкое шоссе
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311301683/;Москва;rent;flat;24;33;1;32.2;85900;0;Нижегородский;Перовское шоссе;2к2;Нижегородская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312193235/;Москва;rent;flat;10;17;2;48.9;75000;0;; Александры Монаховой;87к2;Потапово
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311784386/;Москва;rent;flat;10;33;1;40.0;94400;0;Очаково-Матвеевское;Очаковское шоссе;5к4;Аминьевская
AGORA;real_estate_agent;https://www.cian.ru/rent/flat/312542571/;Москва;rent;flat;16;25;2;60.0;170000;0;Очаково-Матвеевское;Нежинская ;3А;Матвеевская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310969613/;Москва;rent;flat;15;15;1;40.0;64900;0;; Саларьевская;16к3;Саларьево
AGORA;real_estate_agent;https://www.cian.ru/rent/flat/313045541/;Москва;rent;flat;5;9;2;50.0;75000;0;Щукино;Тепличный переулок;5;Октябрьское поле
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312666434/;Москва;rent;flat;1;14;2;33.8;78000;0;Марьина роща;Складочная ;8к2;Дмитровская
ID 16193606;homeowner;https://www.cian.ru/rent/flat/312804807/;Москва;rent;flat;8;9;2;46.0;85000;0;Южное Тушино;Штурвальная ;1;Сходненская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311770473/;Москва;rent;flat;8;9;2;47.9;99500;0;Москворечье-Сабурово;Пролетарский проспект;12/25;Кантемировская
EstateLiga;real_estate_agent;https://www.cian.ru/rent/flat/312346578/;Москва;rent;flat;10;25;1;50.0;130000;0;Обручевский; Академика Челомея;1А;Воронцовская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/308541117/;Москва;rent;flat;9;24;1;31.8;75000;0;Бабушкинский;Кольская ;8С10;Свиблово
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312726480/;Москва;rent;flat;8;33;1;23.7;67900;0;Очаково-Матвеевское; Малая Очаковская;4Ак2;Озёрная
Каскад;real_estate_agent;https://www.cian.ru/rent/flat/312867260/;Москва;rent;flat;8;9;2;47.2;60000;0;Царицыно; Бехтерева;45К1;Царицыно
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311750100/;Москва;rent;flat;13;33;1;41.8;72000;0;Нижегородский;Перовское шоссе;2к3;Нижегородская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310872983/;Москва;rent;flat;12;19;1;26.7;95000;0;Беговой;Бумажный проезд;4;Белорусская
Иван Быков;realtor;https://www.cian.ru/rent/flat/263220610/;Москва;rent;flat;15;16;2;56.0;110000;0;Проспект Вернадского; Удальцова;1к1;Новаторская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312731397/;Москва;rent;flat;2;9;1;33.2;49500;0;Чертаново Южное;Чертановская ;51К3;Улица Академика Янгеля
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311823684/;Москва;rent;flat;6;15;2;61.1;170000;0;Беговой;Ленинградский проспект;29к3;Динамо
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/rent/flat/311196202/;Москва;rent;flat;4;12;2;75.0;350000;0;Хамовники;2-я Фрунзенская ;8;Фрунзенская
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312052193/;Москва;rent;flat;2;25;2;58.0;114900;0;Щукино; Берзарина;32;Бульвар Генерала Карбышева
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312661919/;Москва;rent;flat;15;33;1;34.3;90000;0;Очаково-Матвеевское;Очаковское шоссе;5к3;Аминьевская
Эксклюзив Хоум;real_estate_agent;https://www.cian.ru/rent/flat/313071841/;Москва;rent;flat;2;21;1;34.0;85000;0;Щукино; Берзарина;30А;Октябрьское поле
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/310281476/;Москва;rent;flat;10;21;1;50.0;150000;0;Хорошевский;Хорошевское шоссе;25Ак1;Полежаевская
Delight Realty;real_estate_agent;https://www.cian.ru/rent/flat/308239942/;Москва;rent;flat;8;8;2;62.0;150000;0;Тверской;Тверская ;6С1;Охотный ряд
Лидер Риэлти;real_estate_agent;https://www.cian.ru/rent/flat/312124548/;Москва;rent;flat;8;38;2;60.0;100000;0;Ростокино;проспект Мира;188Бк4;Ростокино
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312619098/;Москва;rent;flat;20;25;1;41.0;67900;0;; Саларьевская;13к3;Саларьево
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311275115/;Москва;rent;flat;9;18;1;20.1;47000;0;; Александры Монаховой;90к1;Потапово
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/313033360/;Москва;rent;flat;3;14;2;70.0;170000;0;Раменки;Минская ;1ГК1;Ломоносовский проспект
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/311707057/;Москва;rent;flat;6;27;1;39.6;100000;0;Лефортово; Крузенштерна;10к1;Авиамоторная
Вертикаль;real_estate_agent;https://www.cian.ru/rent/flat/312177292/;Москва;rent;flat;15;29;2;40.0;110000;0;Головинский;Пулковская ;2;Водный стадион
ID 47205245;unknown;https://www.cian.ru/rent/flat/313073025/;Москва;rent;flat;1;9;2;44.0;55000;0;Можайский;Беловежская ;77;Сетунь
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312771237/;Москва;rent;flat;22;33;1;32.0;80000;0;Гольяново;Амурская ;2к2;Черкизовская
AGORA;real_estate_agent;https://www.cian.ru/rent/flat/312827691/;Москва;rent;flat;8;18;2;45.0;140000;0;Пресненский;Шмитовский проезд;39к8;Москва-Сити
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/312775496/;Москва;rent;flat;11;22;1;47.0;70000;0;; Саларьевская;14к2;Саларьево
